,title,description
71660,Blood Is Blood,"A young girl seeks revenge after an unexpected death, while the world around her unravels revealing horrifying secrets about her life and family."
71667,Pod,A family intervention goes horrifically awry within the snowy confines of an isolated lake house.
71668,Kill That Bitch,"Meticulously, a deranged masked murderer targets five beautiful women, intent on torturing them to death, one by one. The crazed psycho won't stop until they all suffer by his blade. Are the torturer and his prey connected in some way?"
71683,90210 Shark Attack,Students encounter a haunted shark tooth.
71688,Within These Walls,"A prisoner in her own home, a captive in her own body. Assaulted and trapped with no one to hear her cries for help...and knowing no one will believe her if they do. This is the terrifying ..."
71692,Infection,A family of four is quarantined in their home as a virulent strand of the flu spreads into town and they are forced to the extreme to escape alive.
71695,The Mirror,Three intrepid flatmates who purchase the supposedly haunted antique on eBay and set up round the clock cameras in the hopes of capturing evidence of something going bump in the night.
71698,Happy Camp,A man returns to the childhood town where his brother was abducted 20 years earlier.
71701,The Linda Vista Project,An expert in paranormal Emily Strand takes her team on their last ghost hunt to explain the supernatural. She finds her team terrorized in one of Americas most haunted places. Escaping from the supernatural is their only chance to survive.
71702,Save Yourself,"Five female filmmakers en route to screen their new horror film in Los Angeles, experience their own real life terror when they cross paths with deranged scientist hellbent on using them for his twisted experiments."
71703,Chasing the Devil,"Patrick McCord doesn't accept the explanation of his sister's mysterious death as suicide, and instead teams up with a team of paranormal investigators to delve deeper into the inexplicable..."
71710,Magi,"Olivia, A New York-based journalist travels to Turkey when she receives news that her sister Marla is pregnant. Marla recently ended a relationship but decides to keep the baby and that's when sinister things begin to occur."
71711,Unnatural,Global climate change prompts a scientific corporation to genetically modify Alaskan polar bears with horrific and deadly results.
71714,Fetish Factory,"Pin-up vixens vs. bloodthirsty zombies, set in post-apocalyptic Hollywood."
71717,Hungerford,The lives of a group of teenagers are turned upside down when their town is taken over by sinister forces.
71727,Kokki - begushchiy doktor,"Dr. Eugene has a goal - to perform the operation of his life. To do this, he escapes from a certain research institute of the brain and begins to look for the only person suitable for this purpose."
71728,Raivu,"On the morning of a certain Tuesday, a mysterious ""death race"" is suddenly announced on television. Viewers are enthralled by the excitement of the competition, with participants, their ..."
71729,Don't Grow Up,The story about a group of youths who can't face the thought of growing up because anyone who does becomes a rampaging zombie.
71739,"Fear, Inc.",A horror junkie and his friends sign up with a company that brings their customer's greatest fears to life.
71743,Dead Girls,Three stories of abused and forsaken girls who return from the dead to take their revenge.
71748,Shi cheng,It's the end of the century at a corner of the city in a building riddled with crime - Everyone in the building has turned into zombies. After Jenny's boyfriend is killed in a zombie attack...
71749,Friends Don't Let Friends,A violent breakup leaves one man dead and a group of friends dispatched into the desert to dispose of the evidence. Friendships are tested as the group push the boundaries of what can be done in the name of being there for a friend.
71750,Containment,"What happens when an epidemic breaks out, but you're kept in the dark? Anything can happen. Slowly the residents realize that they will all die unless they come together."
71752,Third Eye,"A young woman's supernatural ability to see ghosts is reawakened following the death of her mother. As she adjusts to her new, deathly surroundings, she and her loved ones become the target of some ill-meaning individuals."
71754,Uncaged,A sleepwalking teen straps a camera to himself and discovers a sinister family secret.
71755,Tear Me Apart,"In the barren wastelands of post-apocalyptic England, two young brothers turn to cannibalism to survive only to fall for their prey, a teenage girl - and possibly the last female left alive."
71761,Silent Retreat,"Six members of a media company go on a weekend business retreat at an isolated lodge in the woods. When one of the members goes missing, they discover that the lodge was formerly a private ..."
71769,The Exorcism of Anna Ecklund,A Priest and a Vatican investigator take a possessed housewife to a convent to perform an Exorcism.
71776,Solitude,"After finding an old storage locker filled with his family's history, James Erikson begins a journey to discover the truth behind a mysterious piece of land in the small town of Solitude."
71780,The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
71783,No Solicitors,Lewis Cutterman is a well respected brain surgeon and happily married with two beautiful children who run the family business. They are model citizens within the community. A simple visit ...
71788,The Midnight Swim,"Spirit Lake is unusually deep. No diver has ever managed to find the bottom, though many have tried. When Dr. Amelia Brooks disappears during a deep-water dive, her three daughters travel ..."
